voter_address,address_type
0x53b106a3897032957e32ea30e9b64d5d6da90017,EOA
0xf713ec8abdd795708904d6f00575ca93394d8ff4,EOA
0xd3815588b090cd966fa078134517eb091ea5a22c,EOA
0x237d29b88ac4dffb3a3d6cc3d7fc407bcd8459c9,EOA
0x686ddcf9b7e2d6660ee4cf02757588245a4cb3e1,EOA
0x581c2fd5e6ad31c3b1059a8a48b68fc3f7f78e79,EOA
0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,EOA
0x8bc8b4e4921101bcc56ec084b906069b73de7276,EOA
0xdfa054043dc2bda895c6ade88a1329fe552c3b68,EOA
0xea172676e4105e92cc52dbf45fd93b274ec96676,EOA
0x07fae7d842f93fc5747d47e67b9eb4adecac9dd5,EOA
0x8d23ca46f920731e3429b3865a4f9503c727e417,EOA
0x87b675e9219a3b870df51449268b8c8c2241bf0c,EOA
0x7e651f5f597436cd0fa941f5ff2cd45ef3f2fda8,EOA
0x3acec63df96b7e37ddb146c20cd89146100a908d,EOA
0x409fc43e52a9d6f496fa9f491365e3bd6bb24c60,EOA
0x866f5da24591b2401f04c1f3dd0cbc799bb52fdf,EOA
0x5b31b0ee6cb1ddce48d1133641eee091c9da6154,EOA
0x1e5af7b64cecd78f0141450e942f19b1935c495e,EOA
0xc83c3b46d8e622b9c7b540872c6af8636ddc1d17,EOA
0x9487cd8cea17d556532efc5743e5f9686fa6ee10,EOA
0x53dc2625a59983c0513c481d67f06eaefbc1b9df,EOA
0x5e4568c4d8343052a06ec8aab1e124af08b73248,EOA
0x2f2f665974261c4129b1dc6c359bd259cd66f78a,EOA
0xca93e1912ab9bd7858334b22eb6f4b152c27d77f,EOA
0xaa710073237057ff619a1ff4459974504e903535,EOA
0x96fd9dede1d4dd07f456a917bf8d02cbcf6232e8,EOA
0xefa80a25527fcdde37058aad50983f5c5f72039c,EOA
0x57cd0cc034ec138fc4e5e31b69f13476ce168218,EOA
0x5ec0cc2c7d2fe36f943000a4e1e8212e3dc71884,EOA
0x55418c9cf6726aeac6d848c602471af586770065,EOA
0x1a08d0d155758d82884eec281546486a0da5600b,EOA
0x87721e4237ab8d0abfe441090fc627844d874a5f,EOA
0x7a3d05c70581bd345fe117c06e45f9669205384f,EOA
0x00640215f6385bfd507405b219c3819dd6e49152,EOA
0xdb2785f8a83b5efd6afd0da64cd5cba4b5c086eb,EOA
0xf8bbde27e8ebd26d652ab5db662e96f00af61316,EOA
0x5594762396336c48423eb3f6165c0fbc991e79a5,EOA
0x93c30e370a24828e72145e2e0de0e59a04ffda2c,EOA
0x2210dc066aacb03c9676c4f1b36084af14ccd02e,EOA
0x28ca2d4bd040d6409d1b380e642587a71dabd71e,EOA
0x43dd14091d6769db1a14873506132bbd7f04d384,EOA
0x077637c1b815233ef3dee329b3446e65e2920a66,EOA
0x8e89a28d397b1ea1d6ad9392a7d95e9b50b385db,EOA
0x8c5668706aa3ed7542c4d1faaff06a837c796833,EOA
0xf5f3b278a355a6b527d03e1b2b11ffebdc1b90ee,EOA
0x49899f4090b12e8974338b176b0d0c8956c16446,EOA
0xbf005885dfbfcd83988c232341df37c0fead53bc,EOA
0x1216abe1028608b0eeaab0635f4c56635f1d69f0,EOA
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,EOA
0x2f3962fa7f85c3c9407084b4084c2dd53b638102,EOA
0x5bf26721ef365dea38991ab7ef5cdea80fee964c,EOA
0x9ae9b5e208dea9bffb62e1c88ea864eeca85e1ef,EOA
0xfb5b99035598326d6e82134981b83b5a8f37609d,EOA
0x7add411aa2d004040f62fb0d7f5c0f62ec58307f,EOA
0x9f21d154493a09f3b97d571854f3540056eb6dee,EOA
0xa06c2e5bb33cd6718b08ec9335081cbba62861f7,EOA
0x1b28ba077d8a7ed492262d33c893ef8326d58e27,EOA
0x8b6d146fb3e601920975324e37851c3ba5e4a856,EOA
0x69423a88dbeab0177e935a5c63a79f5e576f5c06,EOA
0x833a0454bd5ebcb9f56b0fe9f8b857fbe094934b,EOA
0xd813a52b1158fc08f69ba52ca72ca4360e255ba3,EOA
0x5762f3074605df17aebe3f5bc8fc7f8702aca752,Contract
0xcc2005844aeabbd4d663f7c45c9bd1369eb062b3,EOA
0x9adc511af137e5de97f1030614762fa691b8df68,EOA
0x2d7dba7e2afc47908994b9b58bb5e950a18571fd,EOA
0x5ec2e4f6d14ce459b3fc91bed4cc28d1fd8f2967,EOA
0xc62d438218781f042ea8bc85e7901f40bc4e0e97,EOA
0xea0fbb39141f47fe2c099c9f777d698593226579,EOA
0x5b8c78c33881c3e229652c79e3dca124473ae2e2,EOA
0x41de03366677743b0e6374bff6d904a4e10d9a4b,EOA
0x196a37946c3d93e9a5309f539ae28b774a32411f,EOA
0xd47e08798d34a3a852c8a0ce789fe95576c464c4,EOA
0xb49f8b8613be240213c1827e2e576044ffec7948,Contract
0x325e231870461bbac93202d035edef04838f4886,EOA
0xfef1a211d28c2cb2e8a1799b3bf8a0770e857ec0,EOA
0x28b80f763a03280f38354dd919b8ca604610a1e1,EOA
0x65792c3579c01b98f920777b6c936ab1e46bb963,EOA
0x4a97658bfb096a0695d93860e5cbd00625cdf099,EOA
0xd2602c7bdfc9f413974e944280bbfae275d1b1b6,EOA
0x3839acf1ee7699d1f46b1be840d8ad8317fdf757,EOA
0x09c6230e43acdf4aa89ccab18c5cfd3f780459b7,EOA
